function,x_dim,c_dim,method,repeat,client,t,regret
levy,2,2,fd,2,-1,31,0.07533286940068781
levy,2,2,fd,2,-1,32,0.07712836512763799
levy,2,2,fd,2,-1,33,0.07803336626002938
levy,2,2,fd,2,-1,34,0.07956378050282181
levy,2,2,fd,2,-1,35,0.07984655141577685
levy,2,2,fd,2,-1,36,0.0761306360720925
levy,2,2,fd,2,-1,37,0.08722359793223577
levy,2,2,fd,2,-1,38,0.0976920831048067
levy,2,2,fd,2,-1,39,0.07137151951165029
levy,2,2,fd,2,-1,40,0.07121554907494193
levy,2,2,fd,2,-1,41,0.07052127827310525
levy,2,2,fd,2,-1,42,0.07553125301227874
levy,2,2,fd,2,-1,43,0.07275690273045132
levy,2,2,fd,2,-1,44,0.0763478183757858
levy,2,2,fd,2,-1,45,0.07599288625854321
levy,2,2,fd,2,-1,46,0.07633911420878872
levy,2,2,fd,2,-1,47,0.07867377541936506
levy,2,2,fd,2,-1,48,0.07742751366819471
levy,2,2,fd,2,-1,49,0.07383084764158494
levy,2,2,fd,2,-1,50,0.0743610056476076
levy,2,2,fd,2,-1,51,0.0740594452037062
levy,2,2,fd,2,-1,52,0.0746193946782819
levy,2,2,fd,2,-1,53,0.07718156869376668
levy,2,2,fd,2,-1,54,0.07458373854303255
levy,2,2,fd,2,-1,55,0.07227082171792591
levy,2,2,fd,2,-1,56,0.0717104607547601
levy,2,2,fd,2,-1,57,0.07088572402182007
levy,2,2,fd,2,-1,58,0.07011800311739023
levy,2,2,fd,2,-1,59,0.08563201984218441
levy,2,2,fd,2,-1,60,0.07452488735326165
levy,2,2,fd,2,-1,61,0.08077231264376922
levy,2,2,fd,2,-1,62,0.08031913231979866
levy,2,2,fd,2,-1,63,0.08037840240342745
levy,2,2,fd,2,-1,64,0.07907026773152412
levy,2,2,fd,2,-1,65,0.08064175357424658
levy,2,2,fd,2,-1,66,0.08126670855050487
levy,2,2,fd,2,-1,67,0.07951894878275648
levy,2,2,fd,2,-1,68,0.08231666986061464
levy,2,2,fd,2,-1,69,0.08236291041378613
levy,2,2,fd,2,-1,70,0.08083872071843472
levy,2,2,fd,2,-1,71,0.08370337694279996
levy,2,2,fd,2,-1,72,0.08005224814916993
levy,2,2,fd,2,-1,73,0.08050368174606407
levy,2,2,fd,2,-1,74,0.08016254381043249
levy,2,2,fd,2,-1,75,0.0830093689134544
levy,2,2,fd,2,-1,76,0.08234973231991577
levy,2,2,fd,2,-1,77,0.0901393609631513
levy,2,2,fd,2,-1,78,0.0810025748642778
levy,2,2,fd,2,-1,79,0.08006652810107763
levy,2,2,fd,3,-1,0,0.146164442557137
levy,2,2,fd,3,-1,1,0.12113244861806752
levy,2,2,fd,3,-1,2,0.10299468321526312
levy,2,2,fd,3,-1,3,0.09882534763930738
levy,2,2,fd,3,-1,4,0.13530930632275176
levy,2,2,fd,3,-1,5,0.10156603820314682
levy,2,2,fd,3,-1,6,0.09997830975496276
levy,2,2,fd,3,-1,7,0.10073378775152027
levy,2,2,fd,3,-1,8,0.10740494021702936
levy,2,2,fd,3,-1,9,0.09280558061857455
levy,2,2,fd,3,-1,10,0.08993975140884022
levy,2,2,fd,3,-1,11,0.09443428951624608
levy,2,2,fd,3,-1,12,0.08940341288678672
levy,2,2,fd,3,-1,13,0.0903844564939176
