function,x_dim,c_dim,method,repeat,client,t,regret
ackley,2,2,fd,1,-1,60,0.016373683921404075
ackley,2,2,fd,1,-1,61,0.01751645129041337
ackley,2,2,fd,1,-1,62,0.013830591680063066
ackley,2,2,fd,1,-1,63,0.013728344724010496
ackley,2,2,fd,1,-1,64,0.011957688906293349
ackley,2,2,fd,1,-1,65,0.014814371291413235
ackley,2,2,fd,1,-1,66,0.011067364015147409
ackley,2,2,fd,1,-1,67,0.011356179259867788
ackley,2,2,fd,1,-1,68,0.01180992599721667
ackley,2,2,fd,1,-1,69,0.011133783981952892
ackley,2,2,fd,1,-1,70,0.011429867596456632
ackley,2,2,fd,1,-1,71,0.011566747301946838
ackley,2,2,fd,1,-1,72,0.01202966654240284
ackley,2,2,fd,1,-1,73,0.011858682170006138
ackley,2,2,fd,1,-1,74,0.013610926227959536
ackley,2,2,fd,1,-1,75,0.011653351516884285
ackley,2,2,fd,1,-1,76,0.013148345225233721
ackley,2,2,fd,1,-1,77,0.011907446425830482
ackley,2,2,fd,1,-1,78,0.011726896195308662
ackley,2,2,fd,1,-1,79,0.012011752329531142
ackley,2,2,fd,2,-1,0,0.09755467288791664
ackley,2,2,fd,2,-1,1,0.07060838183833473
ackley,2,2,fd,2,-1,2,0.05784132270216027
ackley,2,2,fd,2,-1,3,0.05642959841198457
ackley,2,2,fd,2,-1,4,0.062448783708115886
ackley,2,2,fd,2,-1,5,0.05897948542739547
ackley,2,2,fd,2,-1,6,0.0558294046147769
ackley,2,2,fd,2,-1,7,0.057070806570973076
ackley,2,2,fd,2,-1,8,0.05471620713897875
ackley,2,2,fd,2,-1,9,0.05006198448479824
ackley,2,2,fd,2,-1,10,0.04841607684548787
ackley,2,2,fd,2,-1,11,0.0435468420281445
ackley,2,2,fd,2,-1,12,0.03742750572333738
ackley,2,2,fd,2,-1,13,0.03280001181197591
ackley,2,2,fd,2,-1,14,0.03476582942315119
ackley,2,2,fd,2,-1,15,0.03571064024775257
ackley,2,2,fd,2,-1,16,0.038320282932066047
ackley,2,2,fd,2,-1,17,0.030010792879581943
ackley,2,2,fd,2,-1,18,0.02746306912310702
ackley,2,2,fd,2,-1,19,0.028544262865428584
ackley,2,2,fd,2,-1,20,0.023015171290086282
ackley,2,2,fd,2,-1,21,0.022875601175989163
ackley,2,2,fd,2,-1,22,0.02278835264742738
ackley,2,2,fd,2,-1,23,0.025479543164031775
ackley,2,2,fd,2,-1,24,0.022772532373268588
ackley,2,2,fd,2,-1,25,0.02227155700404405
ackley,2,2,fd,2,-1,26,0.02644848050179598
ackley,2,2,fd,2,-1,27,0.027540137382675602
ackley,2,2,fd,2,-1,28,0.02453762411161791
ackley,2,2,fd,2,-1,29,0.027610881742873204
ackley,2,2,fd,2,-1,30,0.02713166585069187
ackley,2,2,fd,2,-1,31,0.03712040311592642
ackley,2,2,fd,2,-1,32,0.02674329939668841
ackley,2,2,fd,2,-1,33,0.025484329220609246
ackley,2,2,fd,2,-1,34,0.025005678809043044
ackley,2,2,fd,2,-1,35,0.021342025335523866
ackley,2,2,fd,2,-1,36,0.02045084770481647
ackley,2,2,fd,2,-1,37,0.03032794921873333
ackley,2,2,fd,2,-1,38,0.023618238120359614
ackley,2,2,fd,2,-1,39,0.03543980327310229
ackley,2,2,fd,2,-1,40,0.023362895280299664
ackley,2,2,fd,2,-1,41,0.02419377676600403
ackley,2,2,fd,2,-1,42,0.017831784964115086
ackley,2,2,fd,2,-1,43,0.017766227962772597
ackley,2,2,fd,2,-1,44,0.017256177586065752
ackley,2,2,fd,2,-1,45,0.016917144659340078
ackley,2,2,fd,2,-1,46,0.019086502119208766
ackley,2,2,fd,2,-1,47,0.01876038265496213
ackley,2,2,fd,2,-1,48,0.020972762875483157
ackley,2,2,fd,2,-1,49,0.025877114749192305
ackley,2,2,fd,2,-1,50,0.021263620474329926
ackley,2,2,fd,2,-1,51,0.02254486145804128
ackley,2,2,fd,2,-1,52,0.02055865939510864
ackley,2,2,fd,2,-1,53,0.019492183451049756
ackley,2,2,fd,2,-1,54,0.019595976378985226
ackley,2,2,fd,2,-1,55,0.01643122194536237
ackley,2,2,fd,2,-1,56,0.0166646743976805
ackley,2,2,fd,2,-1,57,0.016666561061938992
ackley,2,2,fd,2,-1,58,0.016059957718298268
ackley,2,2,fd,2,-1,59,0.02321392919050686
ackley,2,2,fd,2,-1,60,0.020757714562366462
ackley,2,2,fd,2,-1,61,0.020954931625055503
ackley,2,2,fd,2,-1,62,0.020048343230696045
ackley,2,2,fd,2,-1,63,0.02419179747234564
ackley,2,2,fd,2,-1,64,0.02553190549496621
ackley,2,2,fd,2,-1,65,0.017308666323902364
ackley,2,2,fd,2,-1,66,0.01773230476029613
ackley,2,2,fd,2,-1,67,0.015077573345039222
ackley,2,2,fd,2,-1,68,0.016900951324722798
ackley,2,2,fd,2,-1,69,0.016848703410485895
ackley,2,2,fd,2,-1,70,0.01568856599484901
ackley,2,2,fd,2,-1,71,0.015803845778169602
ackley,2,2,fd,2,-1,72,0.015305368713653782
ackley,2,2,fd,2,-1,73,0.014913355203916668
ackley,2,2,fd,2,-1,74,0.014311936306618247
ackley,2,2,fd,2,-1,75,0.01427672179330226
ackley,2,2,fd,2,-1,76,0.014347189244847864
