function,x_dim,c_dim,method,repeat,client,t,regret
ackley,1,2,fd,3,-1,22,0.036024230684156694
ackley,1,2,fd,3,-1,23,0.03397787896074885
ackley,1,2,fd,3,-1,24,0.03024241978998741
ackley,1,2,fd,3,-1,25,0.029990016592460245
ackley,1,2,fd,3,-1,26,0.030128604251842116
ackley,1,2,fd,3,-1,27,0.029833043343545904
ackley,1,2,fd,3,-1,28,0.03634917021903636
ackley,1,2,fd,3,-1,29,0.029645994769063724
ackley,1,2,fd,3,-1,30,0.02842098420990222
ackley,1,2,fd,3,-1,31,0.022952967639791648
ackley,1,2,fd,3,-1,32,0.022832843043982864
ackley,1,2,fd,3,-1,33,0.02217442325256557
ackley,1,2,fd,3,-1,34,0.02234052841576723
ackley,1,2,fd,3,-1,35,0.02265730223943501
ackley,1,2,fd,3,-1,36,0.02469756623249746
ackley,1,2,fd,3,-1,37,0.024276539376696826
ackley,1,2,fd,3,-1,38,0.023478767545308168
ackley,1,2,fd,3,-1,39,0.03191341647928786
ackley,1,2,fd,3,-1,40,0.029991221472939596
ackley,1,2,fd,3,-1,41,0.029666271299711944
ackley,1,2,fd,3,-1,42,0.02947849355425548
ackley,1,2,fd,3,-1,43,0.04648779608629831
ackley,1,2,fd,3,-1,44,0.028901239250502937
ackley,1,2,fd,3,-1,45,0.032655828515265384
ackley,1,2,fd,3,-1,46,0.030233606910162466
ackley,1,2,fd,3,-1,47,0.027616751426768
ackley,1,2,fd,3,-1,48,0.028680979673136108
ackley,1,2,fd,3,-1,49,0.027863568021985398
ackley,1,2,fd,3,-1,50,0.024138152058205173
ackley,1,2,fd,3,-1,51,0.025130382549026616
ackley,1,2,fd,3,-1,52,0.025422765798748054
ackley,1,2,fd,3,-1,53,0.027136100776853436
ackley,1,2,fd,3,-1,54,0.030327558651924824
ackley,1,2,fd,3,-1,55,0.027648477808554554
ackley,1,2,fd,3,-1,56,0.028253030706356885
ackley,1,2,fd,3,-1,57,0.029154497374993156
ackley,1,2,fd,3,-1,58,0.028679205226774262
ackley,1,2,fd,3,-1,59,0.02823142558753969
ackley,1,2,fd,4,-1,0,0.06886025953612471
ackley,1,2,fd,4,-1,1,0.04924253638345594
ackley,1,2,fd,4,-1,2,0.061814915766893144
ackley,1,2,fd,4,-1,3,0.05520473592507552
ackley,1,2,fd,4,-1,4,0.05231948315612266
ackley,1,2,fd,4,-1,5,0.05309331779477174
ackley,1,2,fd,4,-1,6,0.0481194763286862
ackley,1,2,fd,4,-1,7,0.04976664899263941
ackley,1,2,fd,4,-1,8,0.046896874162873414
ackley,1,2,fd,4,-1,9,0.04852431744834374
ackley,1,2,fd,4,-1,10,0.04658016448378687
ackley,1,2,fd,4,-1,11,0.04625040125339835
ackley,1,2,fd,4,-1,12,0.04958115368128633
ackley,1,2,fd,4,-1,13,0.03513061294838193
ackley,1,2,fd,4,-1,14,0.034821553808715364
ackley,1,2,fd,4,-1,15,0.04130097788837691
ackley,1,2,fd,4,-1,16,0.03512350234997053
ackley,1,2,fd,4,-1,17,0.03395128124162571
ackley,1,2,fd,4,-1,18,0.030218915608690097
ackley,1,2,fd,4,-1,19,0.028472865434994925
ackley,1,2,fd,4,-1,20,0.031302674222818724
ackley,1,2,fd,4,-1,21,0.029975362009500572
ackley,1,2,fd,4,-1,22,0.0269562672367161
ackley,1,2,fd,4,-1,23,0.02993007654312007
ackley,1,2,fd,4,-1,24,0.028908293296070156
ackley,1,2,fd,4,-1,25,0.02794386625503716
ackley,1,2,fd,4,-1,26,0.029961962471081356
ackley,1,2,fd,4,-1,27,0.03126496427532251
ackley,1,2,fd,4,-1,28,0.031177335353644975
ackley,1,2,fd,4,-1,29,0.029443919235298793
ackley,1,2,fd,4,-1,30,0.03435417352335834
ackley,1,2,fd,4,-1,31,0.03283396709819895
ackley,1,2,fd,4,-1,32,0.03298749448056744
ackley,1,2,fd,4,-1,33,0.031656652865974674
ackley,1,2,fd,4,-1,34,0.042235432466917806
ackley,1,2,fd,4,-1,35,0.02867491114073162
ackley,1,2,fd,4,-1,36,0.03033449796699699
ackley,1,2,fd,4,-1,37,0.025773806613481436
ackley,1,2,fd,4,-1,38,0.0279389460043619
ackley,1,2,fd,4,-1,39,0.03710734845647366
ackley,1,2,fd,4,-1,40,0.02821959174260097
